compound_id,drug,disease_id,disease,metapath,treatment,path_count,DWPC
DB00494,Entacapone,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB01367,Rasagiline,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00763,Methimazole,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00215,Citalopram,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB01033,Mercaptopurine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00550,Propylthiouracil,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00425,Zolpidem,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB01186,Pergolide,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00701,Amprenavir,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB01048,Abacavir,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00424,Hyoscyamine,DOID:8778,Crohn's disease,CurGiGaD,1,0,0
DB01133,Tiludronate,DOID:5408,Paget's disease of bone,CurGiGaD,1,0,0
DB00763,Methimazole,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00674,Galantamine,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00734,Risperidone,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB00313,Valproic Acid,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB01037,Selegiline,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB01014,Balsalazide,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB00238,Nevirapine,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00190,Carbidopa,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00736,Esomeprazole,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00996,Gabapentin,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00334,Olanzapine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,1,0,0
DB00376,Trihexyphenidyl,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB00425,Zolpidem,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00387,Procyclidine,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB00649,Stavudine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,0,0
DB00657,Mecamylamine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,1,0,0
DB00224,Indinavir,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,0,0
DB00993,Azathioprine,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB00451,Levothyroxine,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00238,Nevirapine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,0,0
DB00158,Folic Acid,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00985,Dimenhydrinate,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB01077,Etidronic acid,DOID:5408,Paget's disease of bone,CurGiGaD,1,0,0
DB00714,Apomorphine,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00635,Prednisone,DOID:8778,Crohn's disease,CurGiGaD,1,0,0
DB00985,Dimenhydrinate,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00224,Indinavir,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00495,Zidovudine,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB00649,Stavudine,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB01232,Saquinavir,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,0,0
DB00985,Dimenhydrinate,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00550,Propylthiouracil,DOID:12361,Graves' disease,CurGiGaD,1,0,0
DB00334,Olanzapine,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00509,Dextrothyroxine,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB00451,Levothyroxine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00747,Scopolamine,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00376,Trihexyphenidyl,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00413,Pramipexole,DOID:10652,Alzheimer's disease,CurGiGaD,1,0,0
DB01068,Clonazepam,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00495,Zidovudine,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00387,Procyclidine,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00215,Citalopram,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00843,Donepezil,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00224,Indinavir,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00503,Ritonavir,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,0,0
DB00701,Amprenavir,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00915,Amantadine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00575,Clonidine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB01200,Bromocriptine,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00268,Ropinirole,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB01583,Liotrix,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00734,Risperidone,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00163,Vitamin E,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB01014,Balsalazide,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB01232,Saquinavir,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00993,Azathioprine,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00989,Rivastigmine,DOID:10652,Alzheimer's disease,CurGiGaD,1,0,0
DB05271,Rotigotine,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00376,Trihexyphenidyl,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB01037,Selegiline,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00248,Cabergoline,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00238,Nevirapine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00736,Esomeprazole,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB01075,Diphenhydramine,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00158,Folic Acid,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00399,Zoledronate,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00190,Carbidopa,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00747,Scopolamine,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00714,Apomorphine,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00736,Esomeprazole,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00985,Dimenhydrinate,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00674,Galantamine,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB01048,Abacavir,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB01077,Etidronic acid,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB00572,Atropine,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00502,Haloperidol,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00215,Citalopram,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00334,Olanzapine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB01200,Bromocriptine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00268,Ropinirole,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00246,Ziprasidone,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB01068,Clonazepam,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB01100,Pimozide,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,1,0,0
DB00224,Indinavir,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00635,Prednisone,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00163,Vitamin E,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00238,Nevirapine,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00550,Propylthiouracil,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00279,Liothyronine,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB01048,Abacavir,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,0,0
DB01601,Lopinavir,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00945,Acetylsalicylic acid,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB01235,L-DOPA,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB01186,Pergolide,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00215,Citalopram,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00399,Zoledronate,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00884,Risedronate,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00376,Trihexyphenidyl,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00843,Donepezil,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00387,Procyclidine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00763,Methimazole,DOID:12361,Graves' disease,CurGiGaD,1,0,0
DB01075,Diphenhydramine,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB01133,Tiludronate,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00279,Liothyronine,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB00705,Delavirdine,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00916,Metronidazole,DOID:8778,Crohn's disease,CurGiGaD,1,0,0
DB01175,Escitalopram,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00509,Dextrothyroxine,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB01075,Diphenhydramine,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00980,Ramelteon,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00502,Haloperidol,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00674,Galantamine,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00224,Indinavir,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00282,Pamidronate,DOID:5408,Paget's disease of bone,CurGiGaD,1,0,0
DB00238,Nevirapine,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00635,Prednisone,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00884,Risedronate,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00674,Galantamine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00190,Carbidopa,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00572,Atropine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00224,Indinavir,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00980,Ramelteon,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00993,Azathioprine,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB01068,Clonazepam,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB01075,Diphenhydramine,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00313,Valproic Acid,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00575,Clonidine,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB00996,Gabapentin,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00495,Zidovudine,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00649,Stavudine,DOID:12361,Graves' disease,CurGiGaD,0,0,0
DB00376,Trihexyphenidyl,DOID:10652,Alzheimer's disease,CurGiGaD,0,0,0
DB00745,Modafinil,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB00238,Nevirapine,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB01077,Etidronic acid,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB01133,Tiludronate,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00246,Ziprasidone,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB01186,Pergolide,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00985,Dimenhydrinate,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB01100,Pimozide,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB01068,Clonazepam,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB00945,Acetylsalicylic acid,DOID:11119,Gilles de la Tourette syndrome,CurGiGaD,0,0,0
DB00279,Liothyronine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00245,Benzatropine,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB01235,L-DOPA,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,0,0,0
DB00495,Zidovudine,DOID:635,acquired immunodeficiency syndrome,CurGiGaD,1,0,0
DB01186,Pergolide,DOID:8778,Crohn's disease,CurGiGaD,0,0,0
DB01224,Quetiapine,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB00313,Valproic Acid,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB01367,Rasagiline,DOID:13378,Kawasaki disease,CurGiGaD,0,0,0
DB00451,Levothyroxine,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB01175,Escitalopram,DOID:14330,Parkinson's disease,CurGiGaD,1,0,0
DB00190,Carbidopa,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
DB00687,Fludrocortisone,DOID:9206,Barrett's esophagus,CurGiGaD,0,0,0
DB00334,Olanzapine,DOID:14330,Parkinson's disease,CurGiGaD,0,0,0
DB01037,Selegiline,DOID:5408,Paget's disease of bone,CurGiGaD,0,0,0
