doid_id,drugbank_id,disease,drug,category
DOID:14330,DB01043,Parkinson's disease,Memantine,SYM
DOID:14330,DB00745,Parkinson's disease,Modafinil,SYM
DOID:14330,DB01186,Parkinson's disease,Pergolide,SYM
DOID:14330,DB00413,Parkinson's disease,Pramipexole,SYM
DOID:14330,DB00387,Parkinson's disease,Procyclidine,SYM
DOID:14330,DB00980,Parkinson's disease,Ramelteon,SYM
DOID:14330,DB01367,Parkinson's disease,Rasagiline,SYM
DOID:14330,DB00989,Parkinson's disease,Rivastigmine,SYM
DOID:14330,DB00268,Parkinson's disease,Ropinirole,SYM
DOID:14330,DB05271,Parkinson's disease,Rotigotine,SYM
DOID:14330,DB01037,Parkinson's disease,Selegiline,SYM
DOID:14330,DB00323,Parkinson's disease,Tolcapone,SYM
DOID:14330,DB00376,Parkinson's disease,Trihexyphenidyl,SYM
DOID:14330,DB00215,Parkinson's disease,Citalopram,NOT
DOID:14330,DB00985,Parkinson's disease,Dimenhydrinate,NOT
DOID:14330,DB01175,Parkinson's disease,Escitalopram,NOT
DOID:14330,DB01224,Parkinson's disease,Quetiapine,NOT
DOID:14330,DB00747,Parkinson's disease,Scopolamine,NOT
DOID:14330,DB01104,Parkinson's disease,Sertraline,NOT
DOID:14330,DB00425,Parkinson's disease,Zolpidem,NOT
DOID:635,DB01048,acquired immunodeficiency syndrome,Abacavir,DM
DOID:635,DB00701,acquired immunodeficiency syndrome,Amprenavir,DM
DOID:635,DB00705,acquired immunodeficiency syndrome,Delavirdine,DM
DOID:635,DB00900,acquired immunodeficiency syndrome,Didanosine,DM
DOID:635,DB00625,acquired immunodeficiency syndrome,Efavirenz,DM
DOID:635,DB00224,acquired immunodeficiency syndrome,Indinavir,DM
DOID:635,DB00709,acquired immunodeficiency syndrome,Lamivudine,DM
DOID:635,DB01601,acquired immunodeficiency syndrome,Lopinavir,DM
DOID:635,DB00220,acquired immunodeficiency syndrome,Nelfinavir,DM
DOID:635,DB00238,acquired immunodeficiency syndrome,Nevirapine,DM
DOID:635,DB00503,acquired immunodeficiency syndrome,Ritonavir,DM
DOID:635,DB01232,acquired immunodeficiency syndrome,Saquinavir,DM
DOID:635,DB00649,acquired immunodeficiency syndrome,Stavudine,DM
DOID:635,DB00495,acquired immunodeficiency syndrome,Zidovudine,DM
DOID:635,DB00787,acquired immunodeficiency syndrome,Aciclovir,NOT
DOID:635,DB00997,acquired immunodeficiency syndrome,Doxorubicin,NOT
DOID:635,DB00445,acquired immunodeficiency syndrome,Epirubicin,NOT
DOID:635,DB00196,acquired immunodeficiency syndrome,Fluconazole,NOT
DOID:635,DB01004,acquired immunodeficiency syndrome,Ganciclovir,NOT
DOID:635,DB00615,acquired immunodeficiency syndrome,Rifabutin,NOT
DOID:0050741,DB00659,alcohol dependence,Acamprosate,DM
DOID:0050741,DB00215,alcohol dependence,Citalopram,DM
DOID:0050741,DB00822,alcohol dependence,Disulfiram,DM
DOID:0050741,DB00704,alcohol dependence,Naltrexone,DM
DOID:0050741,DB00475,alcohol dependence,Chlordiazepoxide,SYM
DOID:0050741,DB00904,alcohol dependence,Ondansetron,SYM
DOID:0050741,DB00158,alcohol dependence,Folic Acid,NOT
DOID:4481,DB00443,allergic rhinitis,Betamethasone,DM
DOID:4481,DB00341,allergic rhinitis,Cetirizine,DM
DOID:4481,DB00434,allergic rhinitis,Cyproheptadine,DM
DOID:4481,DB00967,allergic rhinitis,Desloratadine,DM
DOID:4481,DB01234,allergic rhinitis,Dexamethasone,DM
DOID:4481,DB00985,allergic rhinitis,Dimenhydrinate,DM
DOID:4481,DB01075,allergic rhinitis,Diphenhydramine,DM
DOID:4481,DB00180,allergic rhinitis,Flunisolide,DM
DOID:4481,DB00741,allergic rhinitis,Hydrocortisone,DM
DOID:4481,DB00455,allergic rhinitis,Loratadine,DM
DOID:4481,DB00959,allergic rhinitis,Methylprednisolone,DM
DOID:4481,DB00471,allergic rhinitis,Montelukast,DM
DOID:4481,DB00768,allergic rhinitis,Olopatadine,DM
DOID:4481,DB00860,allergic rhinitis,Prednisolone,DM
DOID:4481,DB00620,allergic rhinitis,Triamcinolone,DM
DOID:4481,DB01364,allergic rhinitis,Ephedrine,SYM
DOID:4481,DB00668,allergic rhinitis,Epinephrine,SYM
DOID:4481,DB00935,allergic rhinitis,Oxymetazoline,SYM
DOID:4481,DB00852,allergic rhinitis,Pseudoephedrine,SYM
DOID:4481,DB01001,allergic rhinitis,Salbutamol,SYM
DOID:4481,DB00535,allergic rhinitis,Cefdinir,NOT
DOID:4481,DB01190,allergic rhinitis,Clindamycin,NOT
DOID:4481,DB00736,allergic rhinitis,Esomeprazole,NOT
DOID:4481,DB00338,allergic rhinitis,Omeprazole,NOT
DOID:986,DB00620,alopecia areata,Triamcinolone,DM
DOID:332,DB00740,amyotrophic lateral sclerosis,Riluzole,DM
DOID:332,DB00514,amyotrophic lateral sclerosis,Dextromethorphan,SYM
DOID:2355,DB00513,anemia,Aminocaproic Acid,NOT
DOID:2355,DB00443,anemia,Betamethasone,NOT
DOID:2355,DB01262,anemia,Decitabine,NOT
DOID:2355,DB08826,anemia,Deferiprone,NOT
DOID:2355,DB01234,anemia,Dexamethasone,NOT
DOID:2355,DB00949,anemia,Felbamate,NOT
DOID:2355,DB00158,anemia,Folic Acid,NOT
DOID:2355,DB00959,anemia,Methylprednisolone,NOT
DOID:2355,DB00860,anemia,Prednisolone,NOT
DOID:2355,DB00635,anemia,Prednisone,NOT
DOID:2355,DB00165,anemia,Pyridoxine,NOT
DOID:2355,DB00620,anemia,Triamcinolone,NOT
DOID:2355,DB00126,anemia,Vitamin C,NOT
DOID:2355,DB00163,anemia,Vitamin E,NOT
DOID:7147,DB00443,ankylosing spondylitis,Betamethasone,DM
DOID:7147,DB01234,ankylosing spondylitis,Dexamethasone,DM
DOID:7147,DB00563,ankylosing spondylitis,Methotrexate,DM
DOID:7147,DB00959,ankylosing spondylitis,Methylprednisolone,DM
DOID:7147,DB00860,ankylosing spondylitis,Prednisolone,DM
DOID:7147,DB00635,ankylosing spondylitis,Prednisone,DM
DOID:7147,DB00795,ankylosing spondylitis,Sulfasalazine,DM
DOID:7147,DB00620,ankylosing spondylitis,Triamcinolone,DM
DOID:7147,DB00482,ankylosing spondylitis,Celecoxib,SYM
DOID:7147,DB00586,ankylosing spondylitis,Diclofenac,SYM
DOID:7147,DB00328,ankylosing spondylitis,Indomethacin,SYM
DOID:7147,DB00814,ankylosing spondylitis,Meloxicam,SYM
DOID:7147,DB00788,ankylosing spondylitis,Naproxen,SYM
DOID:7147,DB00554,ankylosing spondylitis,Piroxicam,SYM
DOID:7147,DB00500,ankylosing spondylitis,Tolmetin,SYM
DOID:7147,DB00924,ankylosing spondylitis,Cyclobenzaprine,NOT
DOID:7147,DB00736,ankylosing spondylitis,Esomeprazole,NOT
DOID:7147,DB00158,ankylosing spondylitis,Folic Acid,NOT
DOID:7147,DB00338,ankylosing spondylitis,Omeprazole,NOT
DOID:2841,DB01223,asthma,Aminophylline,DM
DOID:2841,DB01274,asthma,Arformoterol,DM
DOID:2841,DB00394,asthma,Beclomethasone,DM
DOID:2841,DB00443,asthma,Betamethasone,DM
DOID:2841,DB01222,asthma,Budesonide,DM
DOID:2841,DB01410,asthma,Ciclesonide,DM
DOID:2841,DB01003,asthma,Cromoglicic acid,DM
DOID:2841,DB01234,asthma,Dexamethasone,DM
DOID:2841,DB00651,asthma,Dyphylline,DM
DOID:2841,DB00180,asthma,Flunisolide,DM
DOID:2841,DB00588,asthma,Fluticasone Propionate,DM
DOID:2841,DB08906,asthma,Fluticasone furoate,DM
DOID:2841,DB00983,asthma,Formoterol,DM
DOID:2841,DB00741,asthma,Hydrocortisone,DM
DOID:2841,DB05039,asthma,Indacaterol,DM
DOID:2841,DB00332,asthma,Ipratropium bromide,DM
DOID:2841,DB00221,asthma,Isoetarine,DM
DOID:2841,DB01064,asthma,Isoprenaline,DM
DOID:2841,DB00920,asthma,Ketotifen,DM
DOID:2841,DB00455,asthma,Loratadine,DM
DOID:2841,DB00959,asthma,Methylprednisolone,DM
DOID:2841,DB00764,asthma,Mometasone,DM
DOID:2841,DB00471,asthma,Montelukast,DM
DOID:2841,DB00716,asthma,Nedocromil,DM
DOID:2841,DB00816,asthma,Orciprenaline,DM
DOID:2841,DB01291,asthma,Pirbuterol,DM
DOID:2841,DB00860,asthma,Prednisolone,DM
DOID:2841,DB00635,asthma,Prednisone,DM
DOID:2841,DB01001,asthma,Salbutamol,DM
DOID:2841,DB00938,asthma,Salmeterol,DM
DOID:2841,DB00871,asthma,Terbutaline,DM
DOID:2841,DB00277,asthma,Theophylline,DM
DOID:2841,DB01409,asthma,Tiotropium,DM
DOID:2841,DB00620,asthma,Triamcinolone,DM
DOID:2841,DB05389,asthma,WF10,DM
DOID:2841,DB00549,asthma,Zafirlukast,DM
DOID:2841,DB00744,asthma,Zileuton,DM
DOID:2841,DB01364,asthma,Ephedrine,SYM
DOID:2841,DB00668,asthma,Epinephrine,SYM
DOID:2841,DB00852,asthma,Pseudoephedrine,SYM
DOID:2841,DB00535,asthma,Cefdinir,NOT
DOID:2841,DB00537,asthma,Ciprofloxacin,NOT
DOID:2841,DB01137,asthma,Levofloxacin,NOT
DOID:2841,DB00218,asthma,Moxifloxacin,NOT
DOID:2841,DB00440,asthma,Trimethoprim,NOT
DOID:1936,DB00973,atherosclerosis,Ezetimibe,DM
DOID:1936,DB00227,atherosclerosis,Lovastatin,DM
DOID:1936,DB00627,atherosclerosis,Niacin,DM
DOID:1936,DB00175,atherosclerosis,Pravastatin,DM
DOID:1936,DB01098,atherosclerosis,Rosuvastatin,DM
DOID:1936,DB00641,atherosclerosis,Simvastatin,DM
DOID:1936,DB00758,atherosclerosis,Clopidogrel,NOT
DOID:1936,DB01240,atherosclerosis,Epoprostenol,NOT
DOID:1936,DB00797,atherosclerosis,Tolazoline,NOT
DOID:3310,DB00443,atopic dermatitis,Betamethasone,DM
DOID:3310,DB01260,atopic dermatitis,Desonide,DM
DOID:3310,DB01234,atopic dermatitis,Dexamethasone,DM
DOID:3310,DB00985,atopic dermatitis,Dimenhydrinate,DM
DOID:3310,DB01075,atopic dermatitis,Diphenhydramine,DM
DOID:3310,DB00591,atopic dermatitis,Fluocinolone Acetonide,DM
DOID:3310,DB01047,atopic dermatitis,Fluocinonide,DM
DOID:3310,DB00741,atopic dermatitis,Hydrocortisone,DM
DOID:3310,DB00455,atopic dermatitis,Loratadine,DM
DOID:3310,DB00959,atopic dermatitis,Methylprednisolone,DM
DOID:3310,DB00764,atopic dermatitis,Mometasone,DM
DOID:3310,DB00337,atopic dermatitis,Pimecrolimus,DM
DOID:3310,DB00860,atopic dermatitis,Prednisolone,DM
DOID:3310,DB00635,atopic dermatitis,Prednisone,DM
DOID:3310,DB00864,atopic dermatitis,Tacrolimus,DM
DOID:3310,DB00620,atopic dermatitis,Triamcinolone,DM
DOID:3310,DB01142,atopic dermatitis,Doxepin,SYM
DOID:3310,DB00427,atopic dermatitis,Triprolidine,SYM
DOID:3310,DB01190,atopic dermatitis,Clindamycin,NOT
DOID:3310,DB00410,atopic dermatitis,Mupirocin,NOT
DOID:1094,DB00182,attention deficit hyperactivity disorder,Amphetamine,SYM
DOID:1094,DB00289,attention deficit hyperactivity disorder,Atomoxetine,SYM
DOID:1094,DB01156,attention deficit hyperactivity disorder,Bupropion,SYM
DOID:1094,DB00575,attention deficit hyperactivity disorder,Clonidine,SYM
DOID:1094,DB01151,attention deficit hyperactivity disorder,Desipramine,SYM
DOID:1094,DB01576,attention deficit hyperactivity disorder,Dextroamphetamine,SYM
DOID:1094,DB01018,attention deficit hyperactivity disorder,Guanfacine,SYM
DOID:1094,DB00458,attention deficit hyperactivity disorder,Imipramine,SYM
DOID:1094,DB01255,attention deficit hyperactivity disorder,Lisdexamfetamine,SYM
DOID:1094,DB01577,attention deficit hyperactivity disorder,Methamphetamine,SYM
DOID:1094,DB00422,attention deficit hyperactivity disorder,Methylphenidate,SYM
DOID:1094,DB00745,attention deficit hyperactivity disorder,Modafinil,SYM
DOID:1094,DB00540,attention deficit hyperactivity disorder,Nortriptyline,SYM
DOID:1094,DB00285,attention deficit hyperactivity disorder,Venlafaxine,SYM
DOID:12849,DB01238,autistic disorder,Aripiprazole,SYM
DOID:12849,DB00289,autistic disorder,Atomoxetine,SYM
DOID:12849,DB00245,autistic disorder,Benzatropine,SYM
DOID:12849,DB01068,autistic disorder,Clonazepam,SYM
DOID:12849,DB00575,autistic disorder,Clonidine,SYM
DOID:12849,DB01224,autistic disorder,Quetiapine,SYM
DOID:12849,DB00734,autistic disorder,Risperidone,SYM
DOID:12849,DB01104,autistic disorder,Sertraline,SYM
DOID:12849,DB00583,autistic disorder,L-Carnitine,NOT
DOID:14227,DB00882,azoospermia,Clomifene,DM
DOID:3312,DB01238,bipolar disorder,Aripiprazole,SYM
DOID:3312,DB00564,bipolar disorder,Carbamazepine,SYM
DOID:3312,DB00477,bipolar disorder,Chlorpromazine,SYM
DOID:3312,DB00215,bipolar disorder,Citalopram,SYM
DOID:3312,DB01068,bipolar disorder,Clonazepam,SYM
DOID:3312,DB00363,bipolar disorder,Clozapine,SYM
DOID:3312,DB00476,bipolar disorder,Duloxetine,SYM
DOID:3312,DB01175,bipolar disorder,Escitalopram,SYM
DOID:3312,DB00996,bipolar disorder,Gabapentin,SYM
DOID:3312,DB00555,bipolar disorder,Lamotrigine,SYM
DOID:3312,DB00334,bipolar disorder,Olanzapine,SYM
DOID:3312,DB00776,bipolar disorder,Oxcarbazepine,SYM
DOID:3312,DB00715,bipolar disorder,Paroxetine,SYM
DOID:3312,DB01224,bipolar disorder,Quetiapine,SYM
DOID:3312,DB00734,bipolar disorder,Risperidone,SYM
DOID:3312,DB00906,bipolar disorder,Tiagabine,SYM
DOID:3312,DB00273,bipolar disorder,Topiramate,SYM
DOID:3312,DB00656,bipolar disorder,Trazodone,SYM
DOID:3312,DB00313,bipolar disorder,Valproic Acid,SYM
DOID:3312,DB00246,bipolar disorder,Ziprasidone,SYM
DOID:184,DB00958,bone cancer,Carboplatin,DM
DOID:184,DB00515,bone cancer,Cisplatin,DM
DOID:184,DB00997,bone cancer,Doxorubicin,DM
DOID:184,DB00445,bone cancer,Epirubicin,DM
DOID:184,DB00563,bone cancer,Methotrexate,DM
DOID:184,DB00650,bone cancer,Leucovorin,NOT
DOID:184,DB00399,bone cancer,Zoledronate,NOT
DOID:1319,DB00958,brain cancer,Carboplatin,DM
DOID:1319,DB00262,brain cancer,Carmustine,DM
DOID:1319,DB00773,brain cancer,Etoposide,DM
DOID:1319,DB01005,brain cancer,Hydroxyurea,DM
DOID:1319,DB01206,brain cancer,Lomustine,DM
DOID:1319,DB01168,brain cancer,Procarbazine,DM
DOID:1319,DB00853,brain cancer,Temozolomide,DM
DOID:1319,DB00443,brain cancer,Betamethasone,SYM
DOID:1319,DB01234,brain cancer,Dexamethasone,SYM
DOID:1319,DB00959,brain cancer,Methylprednisolone,SYM
DOID:1319,DB00620,brain cancer,Triamcinolone,SYM
DOID:1319,DB00834,brain cancer,Mifepristone,NOT
DOID:1612,DB01217,breast cancer,Anastrozole,DM
DOID:1612,DB01101,breast cancer,Capecitabine,DM
DOID:1612,DB00958,breast cancer,Carboplatin,DM
DOID:1612,DB00291,breast cancer,Chlorambucil,DM
DOID:1612,DB01248,breast cancer,Docetaxel,DM
DOID:1612,DB00997,breast cancer,Doxorubicin,DM
DOID:1612,DB00445,breast cancer,Epirubicin,DM
DOID:1612,DB08871,breast cancer,Eribulin,DM
DOID:1612,DB00990,breast cancer,Exemestane,DM
DOID:1612,DB00544,breast cancer,Fluorouracil,DM
DOID:1612,DB01185,breast cancer,Fluoxymesterone,DM
DOID:1612,DB00947,breast cancer,Fulvestrant,DM
DOID:1612,DB00441,breast cancer,Gemcitabine,DM
DOID:1612,DB00014,breast cancer,Goserelin,DM
DOID:1612,DB01177,breast cancer,Idarubicin,DM
DOID:1612,DB00762,breast cancer,Irinotecan,DM
DOID:1612,DB04845,breast cancer,Ixabepilone,DM
DOID:1612,DB01259,breast cancer,Lapatinib,DM
DOID:1612,DB01006,breast cancer,Letrozole,DM
DOID:1612,DB01042,breast cancer,Melphalan,DM
DOID:1612,DB00563,breast cancer,Methotrexate,DM
DOID:1612,DB01204,breast cancer,Mitoxantrone,DM
DOID:1612,DB01229,breast cancer,Paclitaxel,DM
DOID:1612,DB00481,breast cancer,Raloxifene,DM
DOID:1612,DB00675,breast cancer,Tamoxifen,DM
DOID:1612,DB04572,breast cancer,Thiotepa,DM
DOID:1612,DB00539,breast cancer,Toremifene,DM
DOID:1612,DB00570,breast cancer,Vinblastine,DM
DOID:1612,DB00361,breast cancer,Vinorelbine,DM
DOID:1612,DB00673,breast cancer,Aprepitant,SYM
DOID:1612,DB00443,breast cancer,Betamethasone,SYM
DOID:1612,DB00286,breast cancer,Conjugated Estrogens,SYM
DOID:1612,DB01234,breast cancer,Dexamethasone,SYM
DOID:1612,DB00783,breast cancer,Estradiol,SYM
DOID:1612,DB08866,breast cancer,Estradiol valerate/Dienogest,SYM
DOID:1612,DB00655,breast cancer,Estrone,SYM
DOID:1612,DB00977,breast cancer,Ethinyl Estradiol,SYM
DOID:1612,DB00603,breast cancer,Medroxyprogesterone Acetate,SYM
DOID:1612,DB00351,breast cancer,Megestrol acetate,SYM
DOID:1612,DB06710,breast cancer,Methyltestosterone,SYM
DOID:1612,DB00433,breast cancer,Prochlorperazine,SYM
DOID:1612,DB00624,breast cancer,Testosterone,SYM
DOID:1612,DB01420,breast cancer,Testosterone Propionate,SYM
DOID:1612,DB00630,breast cancer,Alendronate,NOT
DOID:1612,DB00380,breast cancer,Dexrazoxane,NOT
DOID:1612,DB00282,breast cancer,Pamidronate,NOT
DOID:1612,DB00761,breast cancer,Potassium Chloride,NOT
DOID:1612,DB00884,breast cancer,Risedronate,NOT
DOID:1612,DB01133,breast cancer,Tiludronate,NOT
DOID:1612,DB00399,breast cancer,Zoledronate,NOT
DOID:4362,DB01030,cervical cancer,Topotecan,DM
DOID:784,DB00887,chronic kidney failure,Bumetanide,SYM
DOID:784,DB00136,chronic kidney failure,Calcitriol,SYM
DOID:784,DB00258,chronic kidney failure,Calcium Acetate,SYM
DOID:784,DB00169,chronic kidney failure,Cholecalciferol,SYM
DOID:784,DB01012,chronic kidney failure,Cinacalcet,SYM
DOID:784,DB00746,chronic kidney failure,Deferoxamine,SYM
DOID:784,DB00903,chronic kidney failure,Ethacrynic acid,SYM
DOID:784,DB00695,chronic kidney failure,Furosemide,SYM
DOID:784,DB00910,chronic kidney failure,Paricalcitol,SYM
DOID:784,DB00214,chronic kidney failure,Torasemide,SYM
DOID:784,DB00567,chronic kidney failure,Cephalexin,NOT
DOID:3083,DB01223,chronic obstructive pulmonary disease,Aminophylline,DM
DOID:3083,DB01274,chronic obstructive pulmonary disease,Arformoterol,DM
DOID:3083,DB00983,chronic obstructive pulmonary disease,Formoterol,DM
DOID:3083,DB00471,chronic obstructive pulmonary disease,Montelukast,DM
DOID:3083,DB00860,chronic obstructive pulmonary disease,Prednisolone,DM
DOID:3083,DB00635,chronic obstructive pulmonary disease,Prednisone,DM
DOID:3083,DB01656,chronic obstructive pulmonary disease,Roflumilast,DM
DOID:3083,DB01001,chronic obstructive pulmonary disease,Salbutamol,DM
DOID:3083,DB01409,chronic obstructive pulmonary disease,Tiotropium,DM
DOID:3083,DB06151,chronic obstructive pulmonary disease,Acetylcysteine,SYM
DOID:3083,DB00537,chronic obstructive pulmonary disease,Ciprofloxacin,SYM
DOID:3083,DB00254,chronic obstructive pulmonary disease,Doxycycline,SYM
DOID:3083,DB01137,chronic obstructive pulmonary disease,Levofloxacin,SYM
DOID:3083,DB00218,chronic obstructive pulmonary disease,Moxifloxacin,SYM
DOID:3083,DB01165,chronic obstructive pulmonary disease,Ofloxacin,SYM
DOID:3083,DB00184,chronic obstructive pulmonary disease,Nicotine,NOT
DOID:3083,DB00820,chronic obstructive pulmonary disease,Tadalafil,NOT
DOID:3083,DB05389,chronic obstructive pulmonary disease,WF10,NOT
DOID:3083,DB00425,chronic obstructive pulmonary disease,Zolpidem,NOT
DOID:219,DB01101,colon cancer,Capecitabine,DM
DOID:219,DB00544,colon cancer,Fluorouracil,DM
DOID:219,DB00762,colon cancer,Irinotecan,DM
DOID:219,DB00563,colon cancer,Methotrexate,DM
DOID:219,DB00541,colon cancer,Vincristine,DM
DOID:219,DB00673,colon cancer,Aprepitant,SYM
DOID:219,DB00443,colon cancer,Betamethasone,SYM
DOID:219,DB00482,colon cancer,Celecoxib,SYM
DOID:219,DB01234,colon cancer,Dexamethasone,SYM
DOID:219,DB01008,colon cancer,Busulfan,NOT
DOID:219,DB00987,colon cancer,Cytarabine,NOT
DOID:219,DB00996,colon cancer,Gabapentin,NOT
DOID:219,DB00650,colon cancer,Leucovorin,NOT
DOID:12995,DB00477,conduct disorder,Chlorpromazine,SYM
DOID:12995,DB00502,conduct disorder,Haloperidol,SYM
DOID:12995,DB00734,conduct disorder,Risperidone,SYM
DOID:3393,DB00945,coronary artery disease,Acetylsalicylic acid,DM
DOID:3393,DB01076,coronary artery disease,Atorvastatin,DM
DOID:3393,DB01197,coronary artery disease,Captopril,DM
DOID:3393,DB00758,coronary artery disease,Clopidogrel,DM
DOID:3393,DB00584,coronary artery disease,Enalapril,DM
DOID:3393,DB00700,coronary artery disease,Eplerenone,DM
DOID:3393,DB00973,coronary artery disease,Ezetimibe,DM
DOID:3393,DB01039,coronary artery disease,Fenofibrate,DM
DOID:3393,DB00695,coronary artery disease,Furosemide,DM
DOID:3393,DB01241,coronary artery disease,Gemfibrozil,DM
DOID:3393,DB00722,coronary artery disease,Lisinopril,DM
DOID:3393,DB00678,coronary artery disease,Losartan,DM
DOID:3393,DB00227,coronary artery disease,Lovastatin,DM
DOID:3393,DB00627,coronary artery disease,Niacin,DM
DOID:3393,DB00275,coronary artery disease,Olmesartan,DM
DOID:3393,DB01359,coronary artery disease,Penbutolol,DM
DOID:3393,DB00790,coronary artery disease,Perindopril,DM
DOID:3393,DB08860,coronary artery disease,Pitavastatin,DM
DOID:3393,DB00175,coronary artery disease,Pravastatin,DM
DOID:3393,DB00178,coronary artery disease,Ramipril,DM
DOID:3393,DB01098,coronary artery disease,Rosuvastatin,DM
DOID:3393,DB00641,coronary artery disease,Simvastatin,DM
DOID:3393,DB00966,coronary artery disease,Telmisartan,DM
DOID:3393,DB08816,coronary artery disease,Ticagrelor,DM
DOID:3393,DB00373,coronary artery disease,Timolol,DM
DOID:3393,DB00775,coronary artery disease,Tirofiban,DM
DOID:3393,DB00519,coronary artery disease,Trandolapril,DM
DOID:3393,DB00177,coronary artery disease,Valsartan,DM
DOID:3393,DB00381,coronary artery disease,Amlodipine,SYM
DOID:3393,DB00390,coronary artery disease,Digoxin,SYM
DOID:3393,DB00343,coronary artery disease,Diltiazem,SYM
DOID:3393,DB00975,coronary artery disease,Dipyridamole,SYM
DOID:3393,DB00883,coronary artery disease,Isosorbide Dinitrate,SYM
DOID:3393,DB01020,coronary artery disease,Isosorbide Mononitrate,SYM
DOID:3393,DB00281,coronary artery disease,Lidocaine,SYM
DOID:3393,DB00295,coronary artery disease,Morphine,SYM
DOID:3393,DB01115,coronary artery disease,Nifedipine,SYM
DOID:3393,DB00727,coronary artery disease,Nitroglycerin,SYM
DOID:3393,DB01118,coronary artery disease,Amiodarone,NOT
