source,drugbank_name,target,side_effect_name
DB01048,Abacavir,C0085605,Hepatic failure
DB01048,Abacavir,C2711227,Hepatic steatosis
DB01048,Abacavir,C0019158,Hepatitis
DB01048,Abacavir,C0019163,Hepatitis B
DB01048,Abacavir,C0267792,Hepatobiliary disease
DB01048,Abacavir,C0019209,Hepatomegaly
DB01048,Abacavir,C0221773,Hyperamylasaemia
DB01048,Abacavir,C0020443,Hypercholesterolaemia
DB01048,Abacavir,C0020456,Hyperglycaemia
DB01048,Abacavir,C0795692,Hyperlactacidaemia
DB01048,Abacavir,C0020517,Hypersensitivity
DB01048,Abacavir,C0020557,Hypertriglyceridaemia
DB01048,Abacavir,C0020565,Hypertrophy of breast
DB01048,Abacavir,C0020649,Hypotension
DB01048,Abacavir,C2047937,Ill-defined disorder
DB01048,Abacavir,C0021053,Immune system disorder
DB01048,Abacavir,C0009450,Infection
DB01048,Abacavir,C0021368,Inflammation
DB01048,Abacavir,C0521839,Influenza like illness
DB01048,Abacavir,C0917801,Insomnia
DB01048,Abacavir,C0021655,Insulin resistance
DB01048,Abacavir,C0001125,Lactic acidosis
DB01048,Abacavir,C0023380,Lethargy
DB01048,Abacavir,C0023530,Leukopenia
DB01048,Abacavir,C0023787,Lipodystrophy
DB01048,Abacavir,C0877192,Lipodystrophy acquired
DB01048,Abacavir,C1262113,Lipohypertrophy
DB01048,Abacavir,C0151766,Liver function test abnormal
DB01048,Abacavir,C0497156,Lymphadenopathy
DB01048,Abacavir,C0024312,Lymphopenia
DB01048,Abacavir,C0231218,Malaise
DB01048,Abacavir,C0162429,Malnutrition
DB01048,Abacavir,C0149931,Migraine
DB01048,Abacavir,C0149745,Mouth ulceration
DB01048,Abacavir,C0151786,Muscular weakness
DB01048,Abacavir,C0948594,Musculoskeletal discomfort
DB01048,Abacavir,C0026858,Musculoskeletal pain
DB01048,Abacavir,C0231528,Myalgia
DB01048,Abacavir,C0027051,Myocardial infarction
DB01048,Abacavir,C0026848,Myopathy
DB01048,Abacavir,C0027497,Nausea
DB01048,Abacavir,C0027765,Nervous system disorder
DB01048,Abacavir,C0442874,Neuropathy
DB01048,Abacavir,C0031117,Neuropathy peripheral
DB01048,Abacavir,C0027947,Neutropenia
DB01048,Abacavir,C0013604,Oedema
DB01048,Abacavir,C0029118,Opportunistic infection
DB01048,Abacavir,C2363730,Oropharyngeal discomfort
DB01048,Abacavir,C2363731,Oropharyngeal pain
DB01048,Abacavir,C0236993,Other sleep disturbances
DB01048,Abacavir,C0030193,Pain
DB01048,Abacavir,C0030305,Pancreatitis
DB01048,Abacavir,C0030554,Paraesthesia
DB01048,Abacavir,C0031350,Pharyngitis
DB01048,Abacavir,C0032285,Pneumonia
DB01048,Abacavir,C0033774,Pruritus
DB01048,Abacavir,C0877359,Raised liver function tests
DB01048,Abacavir,C0015230,Rash
DB01048,Abacavir,C0035078,Renal failure
DB01048,Abacavir,C1145670,Respiratory failure
DB01048,Abacavir,C0035243,Respiratory tract infection
DB01048,Abacavir,C0035410,Rhabdomyolysis
DB01048,Abacavir,C1325847,Sensitisation
DB01048,Abacavir,C0037274,Skin disorder
DB01048,Abacavir,C0851578,Sleep disorder
DB01048,Abacavir,C0038002,Splenomegaly
DB01048,Abacavir,C0038325,Stevens-Johnson syndrome
DB01048,Abacavir,C0038362,Stomatitis
DB01048,Abacavir,C0242429,Throat sore
DB01048,Abacavir,C0040034,Thrombocytopenia
DB01048,Abacavir,C0014518,Toxic epidermal necrolysis
DB01048,Abacavir,C0178298,Unspecified disorder of skin and subcutaneous tissue
DB01048,Abacavir,C0042109,Urticaria
DB01048,Abacavir,C0042571,Vertigo
DB01048,Abacavir,C0042963,Vomiting
DB01048,Abacavir,C0043144,Wheezing
DB00945,Acetylsalicylic acid,C0268030,Acidemia
DB00945,Acetylsalicylic acid,C0001122,Acidosis
DB00945,Acetylsalicylic acid,C0085631,Agitation
DB00945,Acetylsalicylic acid,C0002871,Anaemia
DB00945,Acetylsalicylic acid,C0002792,Anaphylactic shock
DB00945,Acetylsalicylic acid,C0002994,Angioedema
DB00945,Acetylsalicylic acid,C0003862,Arthralgia
DB00945,Acetylsalicylic acid,C0857177,Arthritic pains
DB00945,Acetylsalicylic acid,C0004096,Asthma
DB00945,Acetylsalicylic acid,C0595930,Blood cholesterol increased
DB00945,Acetylsalicylic acid,C0006147,Breast feeding
DB00945,Acetylsalicylic acid,C0235710,Chest discomfort
DB00945,Acetylsalicylic acid,C0008031,Chest pain
DB00945,Acetylsalicylic acid,C0005778,Clotting
DB00945,Acetylsalicylic acid,C0005779,Coagulopathy
DB00945,Acetylsalicylic acid,C0009421,Coma
DB00945,Acetylsalicylic acid,C0009676,Confusional state
DB00945,Acetylsalicylic acid,C0009938,Contusion
DB00945,Acetylsalicylic acid,C0036572,Convulsion
DB00945,Acetylsalicylic acid,C0011053,Deafness
DB00945,Acetylsalicylic acid,C0011603,Dermatitis
DB00945,Acetylsalicylic acid,C0011849,Diabetes mellitus
DB00945,Acetylsalicylic acid,C0241863,Diabetic
DB00945,Acetylsalicylic acid,C0011991,Diarrhoea
DB00945,Acetylsalicylic acid,C0012797,Diuresis
DB00945,Acetylsalicylic acid,C0012833,Dizziness
DB00945,Acetylsalicylic acid,C0013144,Drowsiness
DB00945,Acetylsalicylic acid,C0013395,Dyspepsia
DB00945,Acetylsalicylic acid,C0013404,Dyspnoea
DB00945,Acetylsalicylic acid,C0235283,Ear buzzing
DB00945,Acetylsalicylic acid,C1291078,Epigastric discomfort
DB00945,Acetylsalicylic acid,C0302295,Eruption
DB00945,Acetylsalicylic acid,C0233571,Excitement
DB00945,Acetylsalicylic acid,C1443060,Feeling abnormal
DB00945,Acetylsalicylic acid,C0948873,Flu symptoms
DB00945,Acetylsalicylic acid,C0016382,Flushing
DB00945,Acetylsalicylic acid,C0239571,Foetor hepaticus
DB00945,Acetylsalicylic acid,C0392176,Gastric irritation
DB00945,Acetylsalicylic acid,C0017181,Gastrointestinal haemorrhage
DB00945,Acetylsalicylic acid,C0018099,Gout
DB00945,Acetylsalicylic acid,C0018926,Haematemesis
DB00945,Acetylsalicylic acid,C0518015,Haemoglobin
DB00945,Acetylsalicylic acid,C0019080,Haemorrhage
DB00945,Acetylsalicylic acid,C0019087,Haemorrhagic disorder
DB00945,Acetylsalicylic acid,C1384666,Hearing impaired
DB00945,Acetylsalicylic acid,C0018834,Heartburn
DB00945,Acetylsalicylic acid,C0151763,Hepatocellular injury
DB00945,Acetylsalicylic acid,C0235378,Hepatotoxicity
DB00945,Acetylsalicylic acid,C1522133,High cholesterol
DB00945,Acetylsalicylic acid,C0020458,Hyperhidrosis
DB00945,Acetylsalicylic acid,C0020517,Hypersensitivity
DB00945,Acetylsalicylic acid,C0020538,Hypertension
DB00945,Acetylsalicylic acid,C0020615,Hypoglycaemia
DB00945,Acetylsalicylic acid,C0020621,Hypokalaemia
DB00945,Acetylsalicylic acid,C0021400,Influenza
DB00945,Acetylsalicylic acid,C0151746,Kidney function abnormal
DB00945,Acetylsalicylic acid,C0023530,Leukopenia
DB00945,Acetylsalicylic acid,C0220870,Lightheadedness
DB00945,Acetylsalicylic acid,C0023895,Liver disorder
DB00945,Acetylsalicylic acid,C0041657,Loss of consciousness
DB00945,Acetylsalicylic acid,C0025222,Melaena
DB00945,Acetylsalicylic acid,C0220981,Metabolic acidosis
DB00945,Acetylsalicylic acid,C0027497,Nausea
DB00945,Acetylsalicylic acid,C0030920,Peptic ulcer
DB00945,Acetylsalicylic acid,C0032617,Polyuria
DB00945,Acetylsalicylic acid,C0033774,Pruritus
DB00945,Acetylsalicylic acid,C0034150,Purpura
DB00945,Acetylsalicylic acid,C0015230,Rash
DB00945,Acetylsalicylic acid,C1565489,Renal impairment
DB00945,Acetylsalicylic acid,C0002064,Respiratory alkalosis
DB00945,Acetylsalicylic acid,C1145670,Respiratory failure
DB00945,Acetylsalicylic acid,C0035400,Reye's syndrome
DB00945,Acetylsalicylic acid,C0036974,Shock
DB00945,Acetylsalicylic acid,C2830004,Somnolence
DB00945,Acetylsalicylic acid,C0038990,Sweating
DB00945,Acetylsalicylic acid,C0039070,Syncope
DB00945,Acetylsalicylic acid,C0039231,Tachycardia
DB00945,Acetylsalicylic acid,C0039971,Thirst
DB00945,Acetylsalicylic acid,C0040034,Thrombocytopenia
DB00945,Acetylsalicylic acid,C0040264,Tinnitus
DB00945,Acetylsalicylic acid,C0041582,Ulcer
DB00945,Acetylsalicylic acid,C0042109,Urticaria
DB00945,Acetylsalicylic acid,C0008049,Varicella
DB00945,Acetylsalicylic acid,C1368065,Vascular purpura
DB00945,Acetylsalicylic acid,C0042571,Vertigo
DB00945,Acetylsalicylic acid,C0042963,Vomiting
DB00787,Aciclovir,C0232487,Abdominal discomfort
DB00787,Aciclovir,C0000737,Abdominal pain
DB00787,Aciclovir,C0856677,Accelerated hair loss
DB00787,Aciclovir,C0234238,Ache
DB00787,Aciclovir,C0001807,Aggression
DB00787,Aciclovir,C0085631,Agitation
DB00787,Aciclovir,C0151905,Alanine aminotransferase increased
DB00787,Aciclovir,C0002170,Alopecia
DB00787,Aciclovir,C0150450,Altered state of consciousness
DB00787,Aciclovir,C0002871,Anaemia
DB00787,Aciclovir,C0002792,Anaphylactic shock
DB00787,Aciclovir,C0002994,Angioedema
DB00787,Aciclovir,C0003123,Anorexia
DB00787,Aciclovir,C0003460,Anuria
DB00787,Aciclovir,C0038363,Aphthous stomatitis
DB00787,Aciclovir,C0002874,Aplastic anaemia
DB00787,Aciclovir,C0521490,Application site irritation
DB00787,Aciclovir,C0521491,Application site pain
DB00787,Aciclovir,C0151505,Application site reaction
DB00787,Aciclovir,C0003862,Arthralgia
DB00787,Aciclovir,C0151904,Aspartate aminotransferase increased
DB00787,Aciclovir,C0004093,Asthenia
DB00787,Aciclovir,C0004134,Ataxia
DB00787,Aciclovir,C0740399,Auditory and visual hallucinations
DB00787,Aciclovir,C0005741,Blepharitis
DB00787,Aciclovir,C0852911,Blood alkaline phosphatase increased
DB00787,Aciclovir,C0235431,Blood creatinine increased
DB00787,Aciclovir,C0151539,Blood urea increased
DB00787,Aciclovir,C0015967,Body temperature increased
DB00787,Aciclovir,C0007177,Cardiac tamponade
DB00787,Aciclovir,C0424489,Chapped lips
DB00787,Aciclovir,C0008031,Chest pain
DB00787,Aciclovir,C0085593,Chills
DB00787,Aciclovir,C0009421,Coma
DB00787,Aciclovir,C0009676,Confusional state
DB00787,Aciclovir,C0009763,Conjunctivitis
DB00787,Aciclovir,C0009806,Constipation
DB00787,Aciclovir,C0036572,Convulsion
DB00787,Aciclovir,C0026821,Cramp muscle
DB00787,Aciclovir,C0151578,Creatinine increased
DB00787,Aciclovir,C0232462,Decreased appetite
DB00787,Aciclovir,C0011175,Dehydration
DB00787,Aciclovir,C0011206,Delirium
DB00787,Aciclovir,C0549249,Depressed level of consciousness
DB00787,Aciclovir,C0011603,Dermatitis
DB00787,Aciclovir,C0011616,Dermatitis contact
DB00787,Aciclovir,C0011991,Diarrhoea
DB00787,Aciclovir,C0232459,Digestion impaired
DB00787,Aciclovir,C0234215,Discomfort
DB00787,Aciclovir,C0012739,Disseminated intravascular coagulation
DB00787,Aciclovir,C0548823,Distress gastrointestinal
DB00787,Aciclovir,C0012833,Dizziness
DB00787,Aciclovir,C0013362,Dysarthria
DB00787,Aciclovir,C0013378,Dysgeusia
DB00787,Aciclovir,C0013390,Dysmenorrhoea
DB00787,Aciclovir,C0013395,Dyspepsia
DB00787,Aciclovir,C0013404,Dyspnoea
DB00787,Aciclovir,C0013595,Eczema
DB00787,Aciclovir,C0085584,Encephalopathy
DB00787,Aciclovir,C0041834,Erythema
DB00787,Aciclovir,C0014742,Erythema multiforme
DB00787,Aciclovir,C0015397,Eye disorder
DB00787,Aciclovir,C0542571,Face oedema
DB00787,Aciclovir,C0015672,Fatigue
DB00787,Aciclovir,C1443060,Feeling abnormal
DB00787,Aciclovir,C0016204,Flatulence
DB00787,Aciclovir,C0017178,Gastrointestinal disorder
DB00787,Aciclovir,C0687713,Gastrointestinal pain
DB00787,Aciclovir,C0239739,Gingival pain
DB00787,Aciclovir,C0018965,Haematuria
DB00787,Aciclovir,C0235573,Haemoglobinaemia
DB00787,Aciclovir,C0019061,Haemolytic uraemic syndrome
DB00787,Aciclovir,C0018524,Hallucination
DB00787,Aciclovir,C0855223,"Hallucinations, mixed"
DB00787,Aciclovir,C0018681,Headache
DB00787,Aciclovir,C0019158,Hepatitis
DB00787,Aciclovir,C0267792,Hepatobiliary disease
DB00787,Aciclovir,C0019340,Herpes NOS
DB00787,Aciclovir,C0019348,Herpes simplex
DB00787,Aciclovir,C0019372,Herpes virus infection
DB00787,Aciclovir,C0020433,Hyperbilirubinaemia
DB00787,Aciclovir,C0020458,Hyperhidrosis
DB00787,Aciclovir,C0020517,Hypersensitivity
DB00787,Aciclovir,C0020538,Hypertension
DB00787,Aciclovir,C0020621,Hypokalaemia
DB00787,Aciclovir,C0020649,Hypotension
DB00787,Aciclovir,C2047937,Ill-defined disorder
DB00787,Aciclovir,C0021053,Immune system disorder
DB00787,Aciclovir,C0021368,Inflammation
DB00787,Aciclovir,C0542149,Injection site phlebitis
DB00787,Aciclovir,C0917801,Insomnia
DB00787,Aciclovir,C0858797,Instillation site pain
DB00787,Aciclovir,C0022107,Irritability
DB00787,Aciclovir,C0022116,Ischaemia
DB00787,Aciclovir,C0022346,Jaundice
DB00787,Aciclovir,C0023222,Leg pain
DB00787,Aciclovir,C0023380,Lethargy
DB00787,Aciclovir,C2973529,Leukocytoclastic vasculitis
DB00787,Aciclovir,C0023518,Leukocytosis
DB00787,Aciclovir,C0023530,Leukopenia
DB00787,Aciclovir,C0220870,Lightheadedness
DB00787,Aciclovir,C0555724,Lip dry
DB00787,Aciclovir,C0151766,Liver function test abnormal
DB00787,Aciclovir,C0497156,Lymphadenopathy
DB00787,Aciclovir,C0231218,Malaise
DB00787,Aciclovir,C0338831,Mania
DB00787,Aciclovir,C0025061,Mediastinal disorder
DB00787,Aciclovir,C0037763,Muscle spasms
DB00787,Aciclovir,C0948594,Musculoskeletal discomfort
DB00787,Aciclovir,C0231528,Myalgia
DB00787,Aciclovir,C0027441,Nasopharyngitis
DB00787,Aciclovir,C0027497,Nausea
DB00787,Aciclovir,C0027540,Necrosis
DB00787,Aciclovir,C0027765,Nervous system disorder
DB00787,Aciclovir,C0235030,Neurologic reaction
DB00787,Aciclovir,C0235031,Neurological symptom
DB00787,Aciclovir,C0027947,Neutropenia
DB00787,Aciclovir,C3665444,Neutrophilia
DB00787,Aciclovir,C0013604,Oedema
DB00787,Aciclovir,C0085649,Oedema peripheral
DB00787,Aciclovir,C2363730,Oropharyngeal discomfort
DB00787,Aciclovir,C2363731,Oropharyngeal pain
DB00787,Aciclovir,C0029408,Osteoarthritis
DB00787,Aciclovir,C0030193,Pain
DB00787,Aciclovir,C0030196,Pain in extremity
DB00787,Aciclovir,C0030252,Palpitations
DB00787,Aciclovir,C0030554,Paraesthesia
DB00787,Aciclovir,C0030593,Pars planitis
DB00787,Aciclovir,C0031542,Phlebitis
DB00787,Aciclovir,C0151849,Phosphatase alkaline increased
DB00787,Aciclovir,C0349506,Photosensitivity
DB00787,Aciclovir,C0162830,Photosensitivity reaction
DB00787,Aciclovir,C0392386,Platelet count decreased
DB00787,Aciclovir,C0033774,Pruritus
DB00787,Aciclovir,C0033975,Psychotic disorder
DB00787,Aciclovir,C0034063,Pulmonary oedema
DB00787,Aciclovir,C0259799,Punctate keratitis
DB00787,Aciclovir,C0085650,Purpura fulminans
DB00787,Aciclovir,C0877359,Raised liver function tests
DB00787,Aciclovir,C0015230,Rash
DB00787,Aciclovir,C0035078,Renal failure
DB00787,Aciclovir,C0022660,Renal failure acute
DB00787,Aciclovir,C1565489,Renal impairment
DB00787,Aciclovir,C0558489,Renal pain
DB00787,Aciclovir,C1260880,Rhinorrhoea
DB00787,Aciclovir,C0424790,Rigors
DB00787,Aciclovir,C1325847,Sensitisation
DB00787,Aciclovir,C0241057,Skin burning sensation
DB00787,Aciclovir,C0037274,Skin disorder
DB00787,Aciclovir,C0237849,Skin exfoliation
DB00787,Aciclovir,C2830004,Somnolence
DB00787,Aciclovir,C0038325,Stevens-Johnson syndrome
DB00787,Aciclovir,C0677500,Stinging
DB00787,Aciclovir,C0085628,Stupor
DB00787,Aciclovir,C1096543,Superficial punctate keratopathy
DB00787,Aciclovir,C0700590,Sweating increased
DB00787,Aciclovir,C0039231,Tachycardia
DB00787,Aciclovir,C0039971,Thirst
DB00787,Aciclovir,C0242429,Throat sore
DB00787,Aciclovir,C0040034,Thrombocytopenia
DB00787,Aciclovir,C0857305,Thrombocytopenic purpura
DB00787,Aciclovir,C0836924,Thrombocytosis
DB00787,Aciclovir,C1510431,Thrombophlebitis superficial
DB00787,Aciclovir,C0034155,Thrombotic thrombocytopenic purpura
DB00787,Aciclovir,C0014518,Toxic epidermal necrolysis
DB00787,Aciclovir,C0040822,Tremor
DB00787,Aciclovir,C0020523,Type I hypersensitivity
DB00787,Aciclovir,C0178298,Unspecified disorder of skin and subcutaneous tissue
DB00787,Aciclovir,C0041912,Upper respiratory tract infection
DB00787,Aciclovir,C0041969,Urethral disorder
DB00787,Aciclovir,C0042075,Urinary tract disorder
DB00787,Aciclovir,C0438142,Urine analysis abnormal
DB00787,Aciclovir,C0042109,Urticaria
DB00787,Aciclovir,C0042164,Uveitis
DB00787,Aciclovir,C0042384,Vasculitis
DB00787,Aciclovir,C0042571,Vertigo
DB00787,Aciclovir,C0042963,Vomiting
DB00630,Alendronate,C0232487,Abdominal discomfort
DB00630,Alendronate,C0000731,Abdominal distension
DB00630,Alendronate,C0000737,Abdominal pain
DB00630,Alendronate,C0001349,Acute phase reaction
DB00630,Alendronate,C0002170,Alopecia
DB00630,Alendronate,C0002871,Anaemia
DB00630,Alendronate,C1442968,Anastomotic ulcer
DB00630,Alendronate,C0002994,Angioedema
DB00630,Alendronate,C0004093,Asthenia
DB00630,Alendronate,C0004096,Asthma
DB00630,Alendronate,C3495700,Atypical fracture
DB00630,Alendronate,C3495947,Atypical stress fracture
DB00630,Alendronate,C0015967,Body temperature increased
DB00630,Alendronate,C0008031,Chest pain
DB00630,Alendronate,C0009806,Constipation
DB00630,Alendronate,C0026821,Cramp muscle
DB00630,Alendronate,C0011603,Dermatitis
DB00630,Alendronate,C0011991,Diarrhoea
DB00630,Alendronate,C0234215,Discomfort
DB00630,Alendronate,C0012833,Dizziness
DB00630,Alendronate,C0687133,Drug interaction
DB00630,Alendronate,C0151908,Dry skin
DB00630,Alendronate,C0013295,Duodenal ulcer
DB00630,Alendronate,C0013378,Dysgeusia
DB00630,Alendronate,C0013395,Dyspepsia
DB00630,Alendronate,C0011168,Dysphagia
DB00630,Alendronate,C0014583,Episcleritis
DB00630,Alendronate,C0267055,Erosive oesophagitis
DB00630,Alendronate,C0041834,Erythema
DB00630,Alendronate,C0014742,Erythema multiforme
DB00630,Alendronate,C0341117,Esophageal erosions
DB00630,Alendronate,C0349790,Exacerbation of asthma
DB00630,Alendronate,C1443060,Feeling abnormal
DB00630,Alendronate,C0015802,Femur fracture
DB00630,Alendronate,C0162386,Femur fracture subtrochanteric
DB00630,Alendronate,C0272753,Femur shaft fracture
DB00630,Alendronate,C0016204,Flatulence
DB00630,Alendronate,C0038358,Gastric ulcer
DB00630,Alendronate,C0017152,Gastritis
DB00630,Alendronate,C0687713,Gastrointestinal pain
DB00630,Alendronate,C2697368,Gastrointestinal tract irritation
DB00630,Alendronate,C0017168,Gastrooesophageal reflux disease
DB00630,Alendronate,C0518015,Haemoglobin
DB00630,Alendronate,C0019080,Haemorrhage
DB00630,Alendronate,C0018681,Headache
DB00630,Alendronate,C0018834,Heartburn
DB00630,Alendronate,C0020437,Hypercalcaemia
DB00630,Alendronate,C0020438,Hypercalciuria
DB00630,Alendronate,C0020517,Hypersensitivity
DB00630,Alendronate,C0020598,Hypocalcaemia
DB00630,Alendronate,C2047937,Ill-defined disorder
DB00630,Alendronate,C0151692,Impaired healing
DB00630,Alendronate,C0009450,Infection
DB00630,Alendronate,C0521839,Influenza like illness
DB00630,Alendronate,C0392171,Influenza-like symptoms
DB00630,Alendronate,C0152031,Joint swelling
DB00630,Alendronate,C0023418,Leukaemia
DB00630,Alendronate,C0024312,Lymphopenia
DB00630,Alendronate,C0231218,Malaise
DB00630,Alendronate,C0025222,Melaena
DB00630,Alendronate,C0025320,Menopause
DB00630,Alendronate,C0037763,Muscle spasms
DB00630,Alendronate,C0948594,Musculoskeletal discomfort
DB00630,Alendronate,C0026858,Musculoskeletal pain
DB00630,Alendronate,C0231528,Myalgia
DB00630,Alendronate,C0027497,Nausea
DB00630,Alendronate,C0392525,Nephrolithiasis
DB00630,Alendronate,C0085649,Oedema peripheral
DB00630,Alendronate,C0014852,Oesophageal disorder
DB00630,Alendronate,C0743575,Oesophageal irritation
DB00630,Alendronate,C0014866,Oesophageal stenosis
DB00630,Alendronate,C0151970,Oesophageal ulcer
DB00630,Alendronate,C0014868,Oesophagitis
DB00630,Alendronate,C0026636,Oral disorder
DB00630,Alendronate,C0029434,Osteogenesis imperfecta
DB00630,Alendronate,C0029443,Osteomyelitis
DB00630,Alendronate,C2711248,Osteonecrosis of jaw
DB00630,Alendronate,C0030193,Pain
DB00630,Alendronate,C0349506,Photosensitivity
DB00630,Alendronate,C0162830,Photosensitivity reaction
DB00630,Alendronate,C0033774,Pruritus
DB00630,Alendronate,C0015230,Rash
DB00630,Alendronate,C2004489,Regurgitation
DB00630,Alendronate,C0151826,Retrosternal pain
DB00630,Alendronate,C0036416,Scleritis
DB00630,Alendronate,C0038325,Stevens-Johnson syndrome
DB00630,Alendronate,C0038362,Stomatitis
DB00630,Alendronate,C0014518,Toxic epidermal necrolysis
DB00630,Alendronate,C0438717,Transaminases increased
DB00630,Alendronate,C0041582,Ulcer
DB00630,Alendronate,C0042109,Urticaria
DB00630,Alendronate,C0042164,Uveitis
DB00630,Alendronate,C0042571,Vertigo
DB00630,Alendronate,C0042963,Vomiting
DB00915,Amantadine,C0264490,Acute respiratory failure
DB00915,Amantadine,C0001807,Aggression
DB00915,Amantadine,C0085631,Agitation
DB00915,Amantadine,C0001824,Agranulocytosis
DB00915,Amantadine,C0002170,Alopecia
DB00915,Amantadine,C0002622,Amnesia
DB00915,Amantadine,C0002792,Anaphylactic shock
DB00915,Amantadine,C0042373,Angiopathy
DB00915,Amantadine,C0003123,Anorexia
DB00915,Amantadine,C0003467,Anxiety
DB00915,Amantadine,C0003811,Arrhythmia
DB00915,Amantadine,C0004093,Asthenia
DB00915,Amantadine,C0004134,Ataxia
DB00915,Amantadine,C0020672,Body temperature decreased
DB00915,Amantadine,C0015967,Body temperature increased
DB00915,Amantadine,C0018790,Cardiac arrest
DB00915,Amantadine,C0018799,Cardiac disorder
DB00915,Amantadine,C0018801,Cardiac failure
DB00915,Amantadine,C0018802,Cardiac failure congestive
DB00915,Amantadine,C0235198,Cerebration impaired
DB00915,Amantadine,C0009421,Coma
DB00915,Amantadine,C0852733,Completed suicide
DB00915,Amantadine,C0009676,Confusional state
DB00915,Amantadine,C0009806,Constipation
DB00915,Amantadine,C0036572,Convulsion
DB00915,Amantadine,C0010037,Corneal oedema
DB00915,Amantadine,C0010038,Corneal opacity
DB00915,Amantadine,C0232462,Decreased appetite
DB00915,Amantadine,C0011206,Delirium
DB00915,Amantadine,C0011253,Delusion
DB00915,Amantadine,C0549249,Depressed level of consciousness
DB00915,Amantadine,C0011603,Dermatitis
DB00915,Amantadine,C0011991,Diarrhoea
DB00915,Amantadine,C0233407,Disorientation
DB00915,Amantadine,C0233414,Disturbance in attention
DB00915,Amantadine,C0855242,Disturbance in sexual arousal
DB00915,Amantadine,C0012833,Dizziness
DB00915,Amantadine,C0043352,Dry mouth
DB00915,Amantadine,C0013362,Dysarthria
DB00915,Amantadine,C0013384,Dyskinesia
DB00915,Amantadine,C0013395,Dyspepsia
DB00915,Amantadine,C0011168,Dysphagia
DB00915,Amantadine,C0013404,Dyspnoea
DB00915,Amantadine,C0013595,Eczema
DB00915,Amantadine,C0233479,Elevated mood
DB00915,Amantadine,C0235146,Euphoric mood
DB00915,Amantadine,C0233571,Excitement
DB00915,Amantadine,C0015397,Eye disorder
DB00915,Amantadine,C0015672,Fatigue
DB00915,Amantadine,C1443060,Feeling abnormal
DB00915,Amantadine,C0575081,Gait disturbance
DB00915,Amantadine,C0017178,Gastrointestinal disorder
DB00915,Amantadine,C0018524,Hallucination
DB00915,Amantadine,C0018681,Headache
DB00915,Amantadine,C0020458,Hyperhidrosis
DB00915,Amantadine,C0424295,Hyperkinesia
DB00915,Amantadine,C0020517,Hypersensitivity
