source,target,actions
DB00127,765,
DB00127,766,
DB00127,4953,product of
DB00127,6303,substrate
DB00127,6580,substrate
DB00127,6583,inhibitor
DB00127,6611,ligand
DB00127,7498,inhibitor
DB00127,11238,
DB00127,23632,
DB00127,54498,ligand
DB00127,112483,substrate
DB00128,95,
DB00128,159,
DB00128,440,
DB00128,443,
DB00128,444,
DB00128,445,
DB00128,790,
DB00128,1615,
DB00128,2805,
DB00128,2806,
DB00128,4069,
DB00128,6035,
DB00128,6505,
DB00128,8604,
DB00128,10165,
DB00128,10606,
DB00128,55157,
DB00128,80150,
DB00128,91703,
DB00128,117247,inhibitor
DB00128,122622,
DB00129,383,
DB00129,384,
DB00129,2628,
DB00129,4942,
DB00129,4946,
DB00129,4947,
DB00129,5009,
DB00129,6541,
DB00129,6542,
DB00129,6545,
DB00129,10166,
DB00129,51686,
DB00129,83884,
DB00129,84889,
DB00130,440,substrate
DB00130,790,substrate
DB00130,883,substrate
DB00130,1503,antagonist
DB00130,2162,substrate
DB00130,2744,substrate
DB00130,2752,product of
DB00130,5188,substrate
DB00130,5198,substrate
DB00130,5471,product of
DB00130,5859,substrate
DB00130,6510,substrate
DB00130,7047,substrate
DB00130,7051,substrate
DB00130,7052,substrate
DB00130,7053,substrate
DB00130,8833,substrate
DB00130,9333,substrate
DB00130,9945,substrate
DB00130,10991,substrate
DB00130,23428,substrate
DB00130,27165,substrate
DB00130,55191,substrate
DB00130,116179,substrate
DB00130,117247,inhibitor
DB00130,343641,substrate
DB00131,107,product of
DB00131,132,product of
DB00131,270,substrate
DB00131,353,substrate
DB00131,1385,activator
DB00131,2180,product of
DB00131,2203,antagonist|inhibitory allosteric modulator
DB00131,3094,product of
DB00131,5142,product of
DB00131,5144,product of
DB00131,5292,product of
DB00131,5562,activator
DB00131,5564,activator
DB00131,5565,activator
DB00131,5836,activator
DB00131,6714,
DB00131,55902,product of
DB00131,84532,product of
DB00132,2170,
DB00132,2173,
DB00132,3992,ligand
DB00132,6546,
DB00132,6785,
DB00132,7442,
DB00132,9415,ligand
DB00133,189,
DB00133,875,
DB00133,6301,
DB00133,9517,
DB00133,10558,
DB00133,10993,
DB00133,63826,
DB00133,117247,inhibitor
DB00133,102724560,
DB00134,635,product of
DB00134,2752,inhibitor
DB00134,4141,substrate
DB00134,4143,substrate
DB00134,4144,substrate
DB00134,4482,substrate
DB00134,4524,inhibitor
DB00134,4548,product of
DB00134,4552,product of
DB00134,10988,product of
DB00134,22921,substrate
DB00134,23743,product of
DB00134,27430,substrate
DB00134,51734,substrate
DB00134,92935,substrate
DB00134,117247,inhibitor
DB00135,6567,inhibitor
DB00135,6898,
DB00135,7054,binder
DB00135,8565,
DB00135,51067,
DB00135,117247,inhibitor
DB00136,1576,inducer|substrate
DB00136,1591,inducer|substrate
DB00136,2638,
DB00136,7421,agonist|antagonist
DB00137,213,
DB00138,1497,
DB00138,6519,
DB00138,11136,
DB00138,23657,
DB00138,117247,inhibitor
DB00139,444,
DB00139,1468,
DB00139,5019,
DB00139,5033,
DB00139,5351,
DB00139,6389,
DB00139,6390,
DB00139,6391,
DB00139,6392,
DB00139,6561,
DB00139,7915,inhibitor
DB00139,8424,
DB00139,8630,
DB00139,8801,
DB00139,8802,
DB00139,8803,
DB00139,8974,
DB00139,8985,
DB00139,9058,
DB00139,9376,substrate
DB00139,10536,
DB00139,55214,
DB00139,55217,
DB00139,56670,
DB00139,64064,
DB00139,64175,
DB00139,64849,
DB00140,645,product of
DB00140,4128,cofactor
DB00140,4524,cofactor
DB00140,9356,inhibitor
DB00140,55312,ligand
DB00140,945848,other
DB00140,12932660,other
DB00141,2683,
DB00141,4669,activator
DB00141,5973,
DB00141,8702,
DB00141,8703,
DB00141,8704,
DB00141,51172,
DB00141,55577,
DB00142,18,
DB00142,440,
DB00142,586,
DB00142,587,
DB00142,2028,
DB00142,2058,
DB00142,2346,
DB00142,2356,
DB00142,2571,
DB00142,2572,
DB00142,2677,
DB00142,2729,
DB00142,2730,
DB00142,2744,
DB00142,2746,
DB00142,2747,
DB00142,2752,
DB00142,2805,
DB00142,2806,
DB00142,2875,
DB00142,2890,
DB00142,2891,
DB00142,2892,
DB00142,2893,
DB00142,2894,
DB00142,2895,
DB00142,2897,
DB00142,2898,
DB00142,2899,
DB00142,2900,
DB00142,2901,
DB00142,2902,
DB00142,2903,
DB00142,2904,
DB00142,2905,
DB00142,2906,
DB00142,2911,
DB00142,2914,
DB00142,2917,
DB00142,2918,
DB00142,5188,
DB00142,5198,
DB00142,5832,
DB00142,6505,
DB00142,6506,
DB00142,6507,
DB00142,6511,
DB00142,6512,
DB00142,6566,substrate
DB00142,6898,
DB00142,8833,
DB00142,10157,
DB00142,10404,
DB00142,10841,
DB00142,23549,
DB00142,23657,
DB00142,26873,
DB00142,27165,
DB00142,29968,
DB00142,51166,
DB00142,51557,
DB00142,55191,
DB00142,56267,
DB00142,79751,
DB00142,83733,
DB00142,84706,
DB00142,116443,
DB00142,116444,
DB00142,117247,inhibitor|substrate
DB00142,124454,
DB00142,162417,
DB00143,1244,inhibitor|substrate
DB00143,2098,
DB00143,2678,
DB00143,2739,
DB00143,2745,
DB00143,2876,cofactor
DB00143,2877,cofactor
DB00143,2878,cofactor
DB00143,2879,cofactor
DB00143,2880,cofactor
DB00143,2882,cofactor
DB00143,2936,
DB00143,2937,
DB00143,2938,substrate
DB00143,2939,substrate
DB00143,2940,
DB00143,2941,
DB00143,2944,
DB00143,2946,
DB00143,2947,
DB00143,2948,
DB00143,2949,
DB00143,2950,
DB00143,2952,
DB00143,2954,
DB00143,3029,
DB00143,4056,
DB00143,4257,
DB00143,4258,
DB00143,4259,
DB00143,4363,inhibitor|substrate
DB00143,8714,substrate
DB00143,9446,
DB00143,10057,substrate
DB00143,10257,substrate
DB00143,27306,
DB00143,51022,
DB00143,51060,
DB00143,119391,
DB00143,221357,
DB00143,257202,cofactor
DB00143,373156,
DB00143,493869,
DB00144,949,
DB00144,1608,
DB00144,5578,
DB00144,8527,
DB00144,9791,
DB00144,10396,
DB00144,23761,
DB00144,55512,
DB00144,55627,
DB00144,81490,
DB00145,189,
DB00145,211,
DB00145,212,
DB00145,570,
DB00145,2617,
DB00145,2628,
DB00145,2653,
DB00145,2731,
DB00145,2741,
DB00145,2742,
DB00145,2743,
DB00145,2841,
DB00145,2903,antagonist
DB00145,2905,
DB00145,2937,
DB00145,6470,
DB00145,6472,
DB00145,6536,
DB00145,8001,
DB00145,9152,
DB00145,10249,
DB00145,23464,
DB00145,27232,
DB00145,51268,
DB00145,64902,
DB00145,92292,
DB00145,116444,
DB00145,117247,inhibitor|substrate
DB00145,140679,
DB00145,206358,
DB00145,219970,
DB00146,1591,substrate
DB00146,1594,substrate
DB00146,7421,agonist
DB00147,8566,
DB00148,1152,ligand
DB00148,1158,ligand
DB00148,1159,ligand
DB00148,1160,ligand
DB00148,2593,product of
DB00148,6535,
DB00148,6584,inhibitor
DB00148,548596,ligand
DB00149,586,
DB00149,587,
DB00149,6567,substrate
DB00149,9836,
DB00149,23395,
DB00149,51451,
DB00149,51520,
DB00149,117247,inhibitor
DB00150,1644,substrate
DB00150,3620,substrate
DB00150,6567,inhibitor
DB00150,6999,substrate
DB00150,7166,substrate
DB00150,7453,inhibitor|substrate
DB00150,10352,inhibitor|substrate
DB00150,117247,inhibitor
DB00150,121278,substrate
DB00151,833,
DB00151,875,
DB00151,1036,
DB00151,1491,
DB00151,2729,
DB00151,2730,
DB00151,2805,
DB00151,2937,
DB00151,4255,
DB00151,9054,
DB00151,51380,
DB00151,79587,
DB00151,80704,
DB00151,117247,inhibitor
DB00151,102724560,
DB00152,1580,inducer
DB00152,6580,inhibitor
DB00152,6582,inhibitor
DB00152,6584,inhibitor
DB00152,10560,binder
DB00152,27010,ligand
DB00153,367,
DB00153,1576,substrate
DB00153,1591,substrate
DB00153,1593,substrate
DB00153,1594,substrate
DB00153,7421,agonist
DB00153,120227,substrate
DB00154,2173,
DB00154,5742,inhibitor
DB00154,5743,
DB00155,445,
DB00155,4842,
DB00155,4843,
DB00155,4846,
DB00155,5009,
DB00155,11240,
DB00155,23564,
DB00155,23569,
DB00155,23576,
DB00155,29943,
DB00155,51702,
DB00155,353238,
DB00156,6897,
DB00156,79896,
DB00156,80222,
DB00156,117247,inhibitor
DB00157,35,
DB00157,124,substrate
DB00157,125,substrate
DB00157,126,
DB00157,127,substrate
DB00157,128,substrate
DB00157,130,activator|substrate
DB00157,131,substrate
DB00157,216,
DB00157,217,
DB00157,218,
DB00157,219,
DB00157,220,
DB00157,221,
DB00157,222,
DB00157,223,
DB00157,224,
DB00157,231,
DB00157,275,
DB00157,316,substrate
DB00157,501,
DB00157,622,
DB00157,644,
DB00157,645,
DB00157,1036,
DB00157,1109,
DB00157,1579,
DB00157,1586,
DB00157,1645,
DB00157,1646,
DB00157,1717,
DB00157,1719,
DB00157,1727,
DB00157,1737,
DB00157,1738,
DB00157,1962,
DB00157,2597,
DB00157,2746,
DB00157,2747,
DB00157,2819,
DB00157,2936,
DB00157,3028,
DB00157,3030,
DB00157,3033,
DB00157,3156,
DB00157,3162,
DB00157,3163,
DB00157,3248,
DB00157,3283,
DB00157,3284,
DB00157,3290,
DB00157,3291,
DB00157,3292,
DB00157,3293,
DB00157,3294,
DB00157,3295,
DB00157,3419,
DB00157,3420,
DB00157,3421,
DB00157,3614,
DB00157,3615,
DB00157,3939,
DB00157,3945,
DB00157,3948,
DB00157,4190,
DB00157,4191,
DB00157,4199,
DB00157,4200,
DB00157,4329,
DB00157,4522,
DB00157,4535,binder
DB00157,4536,binder
DB00157,4537,binder
DB00157,4538,
DB00157,4539,
DB00157,4540,
DB00157,4541,
DB00157,4694,
DB00157,4695,
DB00157,4696,
DB00157,4697,
DB00157,4698,
DB00157,4700,
DB00157,4701,
DB00157,4702,
DB00157,4704,
DB00157,4705,
DB00157,4706,
DB00157,4707,
DB00157,4708,
DB00157,4709,
DB00157,4710,
DB00157,4711,
DB00157,4712,
DB00157,4713,
DB00157,4714,
DB00157,4715,
DB00157,4716,
DB00157,4717,
DB00157,4718,
DB00157,4719,
DB00157,4720,
DB00157,4722,
DB00157,4723,
DB00157,4724,
DB00157,4725,
DB00157,4726,
DB00157,4728,
DB00157,4729,
DB00157,4731,
DB00157,4835,
DB00157,4967,
DB00157,5160,
DB00157,5161,
DB00157,5162,
DB00157,5831,
DB00157,5860,
DB00157,5959,
DB00157,6307,
DB00157,6652,
DB00157,7264,
DB00157,7299,
DB00157,7358,
DB00157,7498,substrate
DB00157,7915,
DB00157,7923,
DB00157,8644,
DB00157,8659,
DB00157,8854,
DB00157,9563,
DB00157,10157,
DB00157,10327,substrate
DB00157,10797,
DB00157,10873,
DB00157,11112,
DB00157,23530,
DB00157,26227,
DB00157,26330,
DB00157,29920,
DB00157,50814,
DB00157,51079,
DB00157,51478,
DB00157,55967,
DB00157,56901,
DB00157,92483,
DB00157,126328,
DB00157,160287,
DB00157,374291,
DB00158,1571,substrate
DB00158,2350,binder
DB00158,2352,binder
DB00158,4524,substrate
DB00158,8714,substrate
DB00158,8836,substrate
DB00158,9356,inhibitor
DB00158,9429,substrate
DB00158,10257,inhibitor
DB00158,81034,substrate
DB00158,85320,substrate
DB00158,113235,substrate
DB00159,2173,
DB00159,2181,inducer
DB00159,2182,inducer
DB00159,2864,agonist
DB00159,3992,agonist
DB00159,5467,agonist
DB00159,5468,agonist
DB00159,5742,inhibitor
DB00159,5743,inhibitor
DB00159,6546,inhibitor
DB00159,7442,inducer
DB00160,16,
DB00160,18,inhibitor
DB00160,189,
DB00160,2875,
DB00160,6509,
DB00160,8942,
DB00160,9054,
DB00160,23428,
DB00160,57505,
DB00160,64902,
DB00160,84706,
DB00160,85007,
DB00160,117247,inhibitor
DB00160,206358,
DB00161,586,substrate
DB00161,5096,substrate
DB00161,7407,substrate
DB00161,117247,inhibitor
DB00162,216,
DB00162,220,
DB00162,1543,inducer|inhibitor
DB00162,1592,inducer
DB00162,5947,
DB00162,5948,
DB00162,5949,
DB00162,5950,
DB00162,5959,
DB00162,6017,
DB00162,8854,
DB00162,9227,
DB00162,9249,
DB00162,10901,
DB00162,50700,
DB00162,51109,
DB00162,54884,
DB00162,57665,
DB00162,83758,
DB00162,112724,
DB00162,116362,
DB00162,145226,
DB00163,240,
DB00163,1606,
DB00163,1728,inducer
DB00163,2729,inducer
DB00163,2939,inducer
DB00163,2947,inducer
DB00163,2950,inhibitor
DB00163,3162,inducer
DB00163,5515,
DB00163,5516,
DB00163,5578,
DB00163,5579,
DB00163,6647,inducer
DB00163,7274,
DB00163,8856,
DB00163,9446,inhibitor
DB00163,23541,
DB00163,266629,
DB00163,284904,
